osm_id,name,dist_boundary_m,dist_centroid_m,centroid_outside_polygon,facility_count,underserved_1000,underserved_1500,underserved_2000
1275322,Kadıköy Mahallesi,4262.575775,4984.031691,False,0,True,True,True
1275323,Çelebi Mahallesi,4837.994483,7612.899015,False,0,True,True,True
1276035,Paşaköy Mahallesi,851.209864,4141.667764,False,0,True,True,True
2463274,Ayvansaray Mahallesi,0.0,250.226567,False,3,False,False,False
2463371,Balat Mahallesi,16.525087,317.512199,False,0,False,False,False
2463390,Derviş Ali Mahallesi,0.0,117.189993,False,2,False,False,False
2464768,Atikali Mahallesi,0.0,225.660061,False,3,False,False,False
2464918,Yavuz Sultan Selim Mahallesi,0.0,253.556141,False,2,False,False,False
2468218,Karagümrük Mahallesi,0.0,126.051422,False,4,False,False,False
2468219,Hırka-i Şerif Mahallesi,0.0,107.529328,False,4,False,False,False
2468242,Topkapı Mahallesi,0.0,72.841859,False,9,False,False,False
3403828,İçerenköy Mahallesi,0.0,61.923156,False,8,False,False,False
3866327,Cumhuriyet Mahallesi,0.0,338.925687,False,1,False,False,False
3866328,Ünalan Mahallesi,0.0,302.783567,False,3,False,False,False
3866467,Bulgurlu Mahallesi,0.0,470.872924,False,2,False,False,False
3866468,Kısıklı Mahallesi,0.0,260.56484,False,6,False,False,False
6648205,Yunus Emre Mahallesi,174.303681,1055.050831,False,0,True,False,False
6648277,Atatürk Mahallesi,289.509504,877.884122,False,0,False,False,False
6648717,Anadolu Mahallesi,52.517532,999.262379,False,0,False,False,False
6648841,Hicret Mahallesi,0.0,387.653532,False,1,False,False,False
6648854,Bolluca Mahallesi,132.110146,2829.393681,False,0,True,True,True
6648907,Mavigöl Mahallesi,92.909888,1107.244886,False,0,True,False,False
6670488,Gümüşyaka Mahallesi,960.241636,5213.399803,False,0,True,True,True
6841016,Bahçelievler Mahallesi,0.0,291.416659,False,12,False,False,False
6841110,Siyavuşpaşa Mahallesi,0.0,249.502758,False,3,False,False,False
6868850,Şehremini Mahallesi,0.0,164.736025,False,4,False,False,False
7404512,Basınköy Mahallesi,827.524327,1560.416849,False,0,True,True,False
7648808,Mevlanakapı Mahallesi,0.0,288.732493,False,2,False,False,False
7648809,Seyyid Ömer Mahallesi,0.0,125.804592,False,4,False,False,False
7648810,Silivrikapı Mahallesi,0.0,335.21692,False,1,False,False,False
7648811,Sümbül Efendi Mahallesi,4.978463,206.356148,False,0,False,False,False
7648812,Koca Mustafapaşa Mahallesi,0.0,133.704302,False,4,False,False,False
7648813,Yedikule Mahallesi,0.0,436.634589,False,1,False,False,False
7648814,Cerrahpaşa Mahallesi,0.0,184.631324,False,4,False,False,False
7648815,Haseki Sultan Mahallesi,0.0,116.535305,False,4,False,False,False
7648816,Molla Gürani Mahallesi,0.0,179.637711,False,3,False,False,False
7648817,Akşemsettin Mahallesi,0.0,327.540147,False,1,False,False,False
7648818,Ali Kuşçu Mahallesi,0.0,26.456318,False,5,False,False,False
7648819,Cibali Mahallesi,48.950531,298.195586,False,0,False,False,False
7648820,Zeyrek Mahallesi,0.0,198.469007,False,2,False,False,False
7648821,İskenderpaşa Mahallesi,0.0,248.537006,False,3,False,False,False
7648822,Aksaray Mahallesi,0.0,560.161507,False,2,False,False,False
7648823,Katip Kasım Mahallesi,392.653212,695.458318,False,0,False,False,False
7648824,Mesihpaşa Mahallesi,314.819674,479.874281,False,0,False,False,False
7648825,Kemalpaşa Mahallesi,163.657406,429.882121,False,0,False,False,False
7648826,Kalenderhane Mahallesi,35.478012,297.478297,False,0,False,False,False
7648827,Molla Hüsrev Mahallesi,0.0,214.642058,False,1,False,False,False
7648828,Hacı Kadın Mahallesi,142.130984,259.838956,False,0,False,False,False
7648829,Hoca Gıyasettin Mahallesi,195.924459,441.156784,False,0,False,False,False
7648830,Yavuz Sinan Mahallesi,331.998892,462.943366,False,0,False,False,False
7648831,Demirtaş Mahallesi,372.647632,492.953967,False,0,False,False,False
7648832,Sarıdemir Mahallesi,488.604442,713.15821,False,0,False,False,False
7648833,Süleymaniye Mahallesi,0.0,144.336369,False,1,False,False,False
7648834,Balabanağa Mahallesi,293.324823,418.968457,False,0,False,False,False
7648835,Nişanca Mahallesi,503.063297,694.282499,False,0,False,False,False
7648836,Tahtakale Mahallesi,457.784142,603.03383,False,0,False,False,False
7648837,Rüstempaşa Mahallesi,581.387808,747.99196,False,0,False,False,False
7648838,Mercan Mahallesi,317.783384,461.930477,False,0,False,False,False
7648839,Taya Hatun Mahallesi,432.340855,566.289888,False,0,False,False,False
7648840,Beyazıt Mahallesi,322.174133,555.564966,False,0,False,False,False
7648841,Mimar Kemalettin Mahallesi,356.978509,624.662859,True,0,False,False,False
7648842,Saraç İshak Mahallesi,275.796455,410.590571,False,0,False,False,False
7648843,Mimar Hayrettin Mahallesi,92.572909,273.715197,False,0,False,False,False
7648845,Muhsine Hatun Mahallesi,211.016549,483.313357,False,0,False,False,False
7648846,Şehsuvar Bey Mahallesi,0.0,116.206301,False,1,False,False,False
7648847,Emin Sinan Mahallesi,100.297498,288.396622,False,0,False,False,False
7648848,Molla Fenari Mahallesi,14.654558,245.964932,False,0,False,False,False
7648849,Hobyar Mahallesi,166.05374,424.990139,False,0,False,False,False
7648850,Sultan Ahmet Mahallesi,265.760448,629.691047,False,0,False,False,False
7648851,Küçük Ayasofya Mahallesi,128.044088,450.590568,False,0,False,False,False
7648852,Binbirdirek Mahallesi,26.307147,185.906671,False,0,False,False,False
7648853,Alemdar Mahallesi,0.0,92.16954,False,2,False,False,False
7648854,Hocapaşa Mahallesi,0.0,337.32753,False,1,False,False,False
7648855,Cankurtaran Mahallesi,83.193391,478.978581,False,0,False,False,False
7666484,Necip Fazıl Mahallesi,146.895822,1092.926633,False,0,True,False,False
7666485,Orhangazi Mahallesi,0.0,264.485281,False,1,False,False,False
7666486,Yavuz Selim Mahallesi,0.0,660.781424,False,2,False,False,False
7666487,Fatih Mahallesi,0.0,280.965954,False,2,False,False,False
7666488,Mehmet Akif Mahallesi,0.0,87.255902,False,6,False,False,False
7666489,Abdurrahmangazi Mahallesi,0.0,20.325823,False,7,False,False,False
7666490,Hasanpaşa Mahallesi,0.0,124.096035,False,3,False,False,False
7666491,Akşemsettin Mahallesi,0.0,219.274694,False,1,False,False,False
7666492,Mecidiye Mahallesi,0.0,576.734295,False,1,False,False,False
7666493,Turgut Reis Mahallesi,0.0,489.510362,False,2,False,False,False
7666495,Adil Mahallesi,0.0,263.009232,False,2,False,False,False
7666496,Battalgazi Mahallesi,0.0,59.231123,False,3,False,False,False
7666497,Mimar Sinan Mahallesi,0.0,505.539049,False,2,False,False,False
7772852,Ahmet Yesevi Mahallesi,0.0,155.767548,False,3,False,False,False
7786480,Fevzi Çakmak Mahallesi,19.707203,578.733985,False,0,False,False,False
7786481,Cennet Mahallesi,0.0,336.167965,False,1,False,False,False
7786482,Yeni Mahalle Mahallesi,0.0,458.891191,False,1,False,False,False
7786483,Yeşilova Mahallesi,0.0,393.303962,False,1,False,False,False
7786484,Gültepe Mahallesi,0.0,24.444307,False,2,False,False,False
7786485,Beşyol Mahallesi,197.536131,533.73568,False,0,False,False,False
7786486,Kartaltepe Mahallesi,54.514125,652.396814,False,0,False,False,False
7786487,Kemalpaşa Mahallesi,29.773667,347.070454,False,0,False,False,False
7786488,Sultan Murat Mahallesi,22.099389,367.871493,False,0,False,False,False
7786489,Cumhuriyet Mahallesi,27.019377,435.384403,False,0,False,False,False
7786490,Tevfikbey Mahallesi,0.0,397.311855,False,5,False,False,False
7786491,Kanarya Mahallesi,729.687549,1329.131241,False,0,True,False,False
7786492,Söğütlü Çeşme Mahallesi,0.0,258.693774,False,2,False,False,False
7786493,İnönü Mahallesi,68.43808,770.625833,False,0,False,False,False
7786494,İstasyon Mahallesi,0.0,1195.027966,False,1,True,False,False
7786495,Halkalı Merkez Mahallesi,0.0,756.59562,False,2,False,False,False
7786496,Yarımburgaz Mahallesi,157.420482,1899.456153,False,0,True,True,False
7786497,Fatih Mahallesi,771.717618,1311.492382,True,0,True,False,False
7786499,Atakent Mahallesi,0.0,644.027526,False,7,False,False,False
7786500,Atatürk Mahallesi,0.0,321.862033,False,1,False,False,False
7786501,Mehmet Akif Mahallesi,0.0,537.04635,False,1,False,False,False
7964540,Maltepe Mahallesi,0.0,463.000041,False,7,False,False,False
7964551,Merkezefendi Mahallesi,0.0,297.587469,False,2,False,False,False
7964967,Seyitnizam Mahallesi,0.0,333.594779,False,1,False,False,False
7965030,Telsiz Mahallesi,0.0,165.155025,False,3,False,False,False
7965031,Beştelsiz Mahallesi,0.0,310.579342,False,2,False,False,False
7965032,Çırpıcı Mahallesi,0.0,134.993861,False,2,False,False,False
7965519,Kazlıçeşme Mahallesi,0.0,450.803709,False,9,False,False,False
7965520,Yenidoğan Mahallesi,0.0,154.012239,False,1,False,False,False
7965521,Gökalp Mahallesi,27.919499,441.385371,False,0,False,False,False
7965522,Nuripaşa Mahallesi,21.195541,346.285085,False,0,False,False,False
7965523,Yeşiltepe Mahallesi,0.0,259.845423,False,1,False,False,False
7965524,Sümer Mahallesi,0.0,451.932414,False,1,False,False,False
7965525,Veliefendi Mahallesi,0.0,116.937951,False,4,False,False,False
7968240,Bereketzade Mahallesi,0.0,112.524704,False,4,False,False,False
7968241,Emekyemez Mahallesi,196.941298,359.586229,False,0,False,False,False
7968242,Kemankeş Karamustafa Paşa Mahallesi,0.0,284.044999,False,1,False,False,False
7968243,Arap Cami Mahallesi,10.879503,219.298209,False,0,False,False,False
7980653,Şahkulu Mahallesi,140.139554,338.350326,False,0,False,False,False
7980654,Hacımimi Mahallesi,88.802963,298.676672,False,0,False,False,False
7980655,Müeyyedzade Mahallesi,58.00445,157.020498,False,0,False,False,False
7980975,Kılıçali Paşa Mahallesi,26.748894,256.394696,False,0,False,False,False
7980976,Firuzağa Mahallesi,0.0,197.802677,False,1,False,False,False
7980977,Tomtom Mahallesi,37.548668,225.41219,False,0,False,False,False
7980978,Asmalı Mescit Mahallesi,0.0,52.985376,False,2,False,False,False
7980979,Evliya Çelebi Mahallesi,20.406483,188.409095,False,0,False,False,False
7980980,Bedrettin Mahallesi,225.859454,578.770321,False,0,False,False,False
7982393,Katip Mustafa Çelebi Mahallesi,0.0,157.60012,False,1,False,False,False
7982394,Cihangir Mahallesi,0.0,185.626176,False,1,False,False,False
7982395,Gümüşsuyu Mahallesi,0.0,151.003021,False,2,False,False,False
7982396,Ömer Avni Mahallesi,98.180428,355.985249,False,0,False,False,False
7982397,Pürtelaş Hasan Efendi Mahallesi,193.244256,409.447756,False,0,False,False,False
7982471,Yenişehir Mahallesi,144.370357,355.615256,False,0,False,False,False
7982472,Bostan Mahallesi,405.5296,585.100901,False,0,False,False,False
7982473,Kalyoncu Kulluğu Mahallesi,436.296877,571.795811,False,0,False,False,False
7982474,Çukur Mahallesi,439.753094,589.774184,False,0,False,False,False
7982475,Bülbül Mahallesi,138.280984,322.996703,False,0,False,False,False
7982476,Kocatepe Mahallesi,18.971914,197.591274,False,0,False,False,False
7982477,Şehit Muhtar Mahallesi,273.16433,421.399908,False,0,False,False,False
7982478,Hüseyinağa Mahallesi,260.284992,443.711062,False,0,False,False,False
7982479,Kamer Hatun Mahallesi,187.808425,372.589403,False,0,False,False,False
7982480,Yahya Kahya Mahallesi,248.528716,397.000892,False,0,False,False,False
7982481,Çatma Mescit Mahallesi,113.414332,269.395365,False,0,False,False,False
7982482,Kuloğlu Mahallesi,7.694945,240.069051,False,0,False,False,False
8040974,Kadı Mehmet Efendi Mahallesi,0.0,81.451099,False,2,False,False,False
8040975,Camiikebir Mahallesi,42.818198,425.201747,False,0,False,False,False
8040976,Küçük Piyale Mahallesi,159.494546,462.393381,False,0,False,False,False
8040977,İstiklal Mahallesi,624.460273,985.28879,False,0,False,False,False
8040978,Hacıahmet Mahallesi,403.050893,701.819408,False,0,False,False,False
8040979,Sururi Mehmet Efendi Mahallesi,435.974311,633.962805,False,0,False,False,False
8041035,Kaptanpaşa Mahallesi,495.356798,959.004809,False,0,False,False,False
8041036,Keçeci Piri Mahallesi,373.113271,859.249068,False,0,False,False,False
8041037,Kulaksız Mahallesi,216.637399,542.900143,False,0,False,False,False
8041154,Sütlüce Mahallesi,429.559454,787.786192,False,0,False,False,False
8041155,Halıcıoğlu Mahallesi,324.1152,947.761438,False,0,False,False,False
8041156,Piri Paşa Mahallesi,265.512559,832.500783,False,0,False,False,False
8041157,Örnektepe Mahallesi,148.677261,560.584291,False,0,False,False,False
8041158,Fetihtepe Mahallesi,54.531639,530.173246,False,0,False,False,False
8041159,Piyalepaşa Mahallesi,0.0,519.972975,False,1,False,False,False
8111527,Sururi Mahallesi,330.086623,501.478604,False,0,False,False,False
8320926,Hamidiye Mahallesi,0.0,557.207282,False,1,False,False,False
